Artnamn;Antal;Enhet;Antal substrat;Ålder-Stadium;Kön;Aktivitet;Metod;Lokalnamn;Ost;Nord;Noggrannhet;Diffusion;Djup min;Djup max;Höjd min;Höjd max;Startdatum;Starttid;Slutdatum;Sluttid;Publik kommentar;Intressant kommentar;Privat kommentar;Ej återfunnen;Dölj fyndet t.o.m.;Andrahand;Osäker artbestämning;Ospontan;Biotop;Biotop-beskrivning;Art som substrat;Art som substrat beskrivning;Substrat;Substrat-beskrivning;Offentlig samling;Privat samling;Samlings-nummer;Bestämningsmetod;Artbestämd av;Artbestämd av (fritext);Bestämningsår;Beskrivning artbestämning;Bekräftad av;Bekräftad av (fritext);Bekräftelseår;Länk till BOLD/GenBank;Med-observatör;Med-observatör;Med-observatör;Med-observatör;Med-observatör;Med-observatör;Med-observatör;Med-observatör;Med-observatör;Med-observatör;Externid;Ej funnen
;1;;;;;;;Imported locality 17;616684;7215948;10 m;;;;430;;2026-07-28;10:48;;;;;;;;;;;;;;;;;;Nils Ericson;NE21;;;;;;;;;;Nis Ericson;;;;;;;;;;;
;1;;;;;;;Imported locality 17;616684;7215948;10 m;;;;430;;2026-07-28;10:48;;;;;;;;;;;;;;;;;;Nils Ericson;NE21-2;;;;;;;;;;Nis Ericson;;;;;;;;;;;
;1;;;;;;;Imported locality 17;616684;7215948;10 m;;;;430;;2026-07-28;10:48;;;;;;;;;;;;;;;;;;Nils Ericson;NE21-3;;;;;;;;;;Nis Ericson;;;;;;;;;;;
;1;;;;;;;Imported locality 17;616684;7215948;10 m;;;;430;;2026-07-28;10:48;;;;;;;;;;;;;;;;;;Nils Ericson;NE21-4;;;;;;;;;;Nis Ericson;;;;;;;;;;;
;1;;;;;;;Imported locality 17;616684;7215948;10 m;;;;430;;2026-07-28;10:48;;;;;;;;;;;;;;;;;;Nils Ericson;NE21-5;;;;;;;;;;Nis Ericson;;;;;;;;;;;
;1;;;;;;;Imported locality 17;616684;7215948;10 m;;;;430;;2026-07-28;10:48;;;;;;;;;;;;;;;;;;Nils Ericson;NE21-6;;;;;;;;;;Nis Ericson;;;;;;;;;;;
;1;;;;;;;Imported locality 16;616681;7215881;5 m;;;;414;;2026-07-28;11:38;;;;;;;;;;;;;;;;;;Nils Ericson;NE22;;;;;;;;;;Nis Ericson;;;;;;;;;;;
;1;;;;;;;Imported locality 16;616681;7215881;5 m;;;;414;;2026-07-28;11:38;;;;;;;;;;;;;;;;;;Nils Ericson;NE22-2;;;;;;;;;;Nis Ericson;;;;;;;;;;;
;1;;;;;;;Imported locality 16;616681;7215881;5 m;;;;414;;2026-07-28;11:38;;;;;;;;;;;;;;;;;;Nils Ericson;NE22-3;;;;;;;;;;Nis Ericson;;;;;;;;;;;
;1;;;;;;;Imported locality 16;616681;7215881;5 m;;;;414;;2026-07-28;11:38;;;;;;;;;;;;;;;;;;Nils Ericson;NE22-4;;;;;;;;;;Nis Ericson;;;;;;;;;;;
;1;;;;;;;Imported locality 16;616681;7215881;5 m;;;;414;;2026-07-28;11:38;;;;;;;;;;;;;;;;;;Nils Ericson;NE22-5;;;;;;;;;;Nis Ericson;;;;;;;;;;;
;1;;;;;;;Imported locality 16;616681;7215881;5 m;;;;414;;2026-07-28;11:38;;;;;;;;;;;;;;;;;;Nils Ericson;NE22-6;;;;;;;;;;Nis Ericson;;;;;;;;;;;
;1;;;;;;;Imported locality 16;616681;7215881;5 m;;;;414;;2026-07-28;11:38;;;;;;;;;;;;;;;;;;Nils Ericson;NE22-7;;;;;;;;;;Nis Ericson;;;;;;;;;;;
;1;;;;;;;Imported locality 16;616681;7215881;5 m;;;;414;;2026-07-28;11:38;;;;;;;;;;;;;;;;;;Nils Ericson;NE22-8;;;;;;;;;;Nis Ericson;;;;;;;;;;;
;1;;;;;;;Imported locality 16;616681;7215881;5 m;;;;414;;2026-07-28;11:38;;;;;;;;;;;;;;;;;;Nils Ericson;NE22-9;;;;;;;;;;Nis Ericson;;;;;;;;;;;
;1;;;;;;;Imported locality 16;616681;7215881;5 m;;;;414;;2026-07-28;11:38;;;;;;;;;;;;;;;;;;Nils Ericson;NE22-10;;;;;;;;;;Nis Ericson;;;;;;;;;;;
;1;;;;;;;Imported locality 15;616705;7215888;10 m;;;;411;;2026-07-28;11:50;;;;;;;;;;;;;;;;;;Nils Ericson;NE23;;;;;;;;;;Nis Ericson;;;;;;;;;;;
;1;;;;;;;Imported locality 15;616705;7215888;10 m;;;;411;;2026-07-28;11:50;;;;;;;;;;;;;;;;;;Nils Ericson;NE23-2;;;;;;;;;;Nis Ericson;;;;;;;;;;;
;1;;;;;;;Imported locality 15;616705;7215888;10 m;;;;411;;2026-07-28;11:50;;;;;;;;;;;;;;;;;;Nils Ericson;NE23-3;;;;;;;;;;Nis Ericson;;;;;;;;;;;
;1;;;;;;;Imported locality 15;616705;7215888;10 m;;;;411;;2026-07-28;11:50;;;;;;;;;;;;;;;;;;Nils Ericson;NE23-4;;;;;;;;;;Nis Ericson;;;;;;;;;;;
;1;;;;;;;Imported locality 14;616906;7215890;10 m;;;;397;;2026-07-28;12:18;;;;;;;;;;;;;;;;;;Nils Ericson;NE24;;;;;;;;;;Nis Ericson;;;;;;;;;;;
;1;;;;;;;Imported locality 14;616906;7215890;10 m;;;;397;;2026-07-28;12:18;;;;;;;;;;;;;;;;;;Nils Ericson;NE24-2;;;;;;;;;;Nis Ericson;;;;;;;;;;;
;1;;;;;;;Imported locality 14;616906;7215890;10 m;;;;397;;2026-07-28;12:18;;;;;;;;;;;;;;;;;;Nils Ericson;NE24-3;;;;;;;;;;Nis Ericson;;;;;;;;;;;
;1;;;;;;;Imported locality 14;616906;7215890;10 m;;;;397;;2026-07-28;12:18;;;;;;;;;;;;;;;;;;Nils Ericson;NE24-4;;;;;;;;;;Nis Ericson;;;;;;;;;;;
;1;;;;;;;Imported locality 14;616906;7215890;10 m;;;;397;;2026-07-28;12:18;;;;;;;;;;;;;;;;;;Nils Ericson;NE24-5;;;;;;;;;;Nis Ericson;;;;;;;;;;;
;1;;;;;;;Imported locality 13;617081;7215921;10 m;;;;387;;2026-07-28;12:29;;;;;;;;;;;;;;;uttorkad myr;;;Nils Ericson;NE25;;;;;;;;;;Nis Ericson;;;;;;;;;;;
